Match,Result,Score,Home-Away,Competitor
Manchester United v Leeds United,W,5-1,H,Leeds United
Southampton v Manchester United,D,1-1,A,Southampton
Wolverhampton Wanderers v Manchester United,W,0-1,A,Wolverhampton Wanderers
Manchester United v Newcastle United,W,4-1,H,Newcastle United
Young Boys Berne v Manchester United,L,2-1,A,Young Boys Berne
West Ham United v Manchester United,W,1-2,A,West Ham United
Manchester United v West Ham United,L,0-1,H,West Ham United
Manchester United v Aston Villa,L,0-1,H,Aston Villa
Manchester United v Villarreal,W,2-1,H,Villarreal
Manchester United v Everton,D,1-1,H,Everton
Leicester City v Manchester United,L,4-2,A,Leicester City
Manchester United v Atalanta,W,3-2,H,Atalanta
Manchester United v Liverpool,L,0-5,H,Liverpool
Tottenham Hotspur v Manchester United,W,0-3,A,Tottenham Hotspur
Atalanta v Manchester United,D,2-2,A,Atalanta
Manchester United v Manchester City,L,0-2,H,Manchester City
Manchester United v Crystal Palace,L,1-3,H,Crystal Palace
Luton Town v Manchester United,W,0-3,A,Luton Town
Brighton and Hove Albion v Manchester United,W,2-3,A,Brighton and Hove Albion
Brighton and Hove Albion v Manchester United,W,0-3,A,Brighton and Hove Albion
Manchester United v Tottenham Hotspur,L,1-6,H,Tottenham Hotspur
Newcastle United v Manchester United,W,1-4,A,Newcastle United
Paris St Germain v Manchester United,W,1-2,A,Paris St Germain
Manchester United v Chelsea,D,0-0,H,Chelsea
Manchester United v Red Bull Leipzig,W,5-0,H,Red Bull Leipzig
Manchester United v Arsenal,L,0-1,H,Arsenal
İstanbul Başakşehir v Manchester United,L,2-1,A,İstanbul Başakşehir
Everton v Manchester United,W,1-3,A,Everton
Manchester United v West Bromwich Albion,W,1-0,H,West Bromwich Albion
Manchester United v İstanbul Başakşehir,W,4-1,H,İstanbul Başakşehir
Southampton v Manchester United,W,2-3,A,Southampton
Manchester United v Paris St Germain,L,1-3,H,Paris St Germain
West Ham United v Manchester United,W,1-3,A,West Ham United
Red Bull Leipzig v Manchester United,L,3-2,A,Red Bull Leipzig
Manchester United v Manchester City,D,0-0,H,Manchester City
Sheffield United v Manchester United,W,2-3,A,Sheffield United
Manchester United v Leeds United,W,6-2,H,Leeds United
Everton v Manchester United,W,0-2,A,Everton
Leicester City v Manchester United,D,2-2,A,Leicester City
Manchester United v Wolverhampton Wanderers,W,1-0,H,Wolverhampton Wanderers
Manchester United v Aston Villa,W,2-1,H,Aston Villa
Manchester United v Manchester City,L,0-2,H,Manchester City
Manchester United v Watford,W,1-0,H,Watford
Burnley v Manchester United,W,0-1,A,Burnley
Liverpool v Manchester United,D,0-0,A,Liverpool
Fulham v Manchester United,W,1-2,A,Fulham
Manchester United v Liverpool,W,3-2,H,Liverpool
Manchester United v Sheffield United,L,1-2,H,Sheffield United
Arsenal v Manchester United,D,0-0,A,Arsenal
Manchester United v Southampton,W,9-0,H,Southampton
Manchester United v Everton,D,3-3,H,Everton
Manchester United v West Ham United,W,1-0,H,West Ham United
West Bromwich Albion v Manchester United,D,1-1,A,West Bromwich Albion
Real Sociedad v Manchester United,W,0-4,A,Real Sociedad
Manchester United v Newcastle United,W,3-1,H,Newcastle United
Manchester United v Real Sociedad,D,0-0,H,Real Sociedad
Chelsea v Manchester United,D,0-0,A,Chelsea
Crystal Palace v Manchester United,D,0-0,A,Crystal Palace
Manchester City v Manchester United,W,0-2,A,Manchester City
Manchester United v AC Milan,D,1-1,H,AC Milan
Manchester United v West Ham United,W,1-0,H,West Ham United
AC Milan v Manchester United,W,0-1,A,AC Milan
Leicester City v Manchester United,L,3-1,A,Leicester City
Manchester United v Brighton and Hove Albion,W,2-1,H,Brighton and Hove Albion
Granada v Manchester United,W,0-2,A,Granada
Tottenham Hotspur v Manchester United,W,1-3,A,Tottenham Hotspur
Manchester United v Granada,W,2-0,H,Granada
Manchester United v Burnley,W,3-1,H,Burnley
Leeds United v Manchester United,D,0-0,A,Leeds United
Manchester United v AS Roma,W,6-2,H,AS Roma
AS Roma v Manchester United,L,3-2,A,AS Roma
Aston Villa v Manchester United,W,1-3,A,Aston Villa
Manchester United v Leicester City,L,1-2,H,Leicester City
Manchester United v Liverpool,L,2-4,H,Liverpool
Manchester United v Fulham,D,1-1,H,Fulham
Wolverhampton Wanderers v Manchester United,W,1-2,A,Wolverhampton Wanderers
Villarreal v Manchester United,L,1-1 (11-10),A,Villarreal
Manchester United v Crystal Palace,L,1-3,H,Crystal Palace
Luton Town v Manchester United,W,0-3,A,Luton Town
Brighton and Hove Albion v Manchester United,W,2-3,A,Brighton and Hove Albion
Brighton and Hove Albion v Manchester United,W,0-3,A,Brighton and Hove Albion
Manchester United v Tottenham Hotspur,L,1-6,H,Tottenham Hotspur
Newcastle United v Manchester United,W,1-4,A,Newcastle United
Paris St Germain v Manchester United,W,1-2,A,Paris St Germain
Manchester United v Chelsea,D,0-0,H,Chelsea
Manchester United v Red Bull Leipzig,W,5-0,H,Red Bull Leipzig
Manchester United v Arsenal,L,0-1,H,Arsenal
İstanbul Başakşehir v Manchester United,L,2-1,A,İstanbul Başakşehir
Everton v Manchester United,W,1-3,A,Everton
Manchester United v West Bromwich Albion,W,1-0,H,West Bromwich Albion
Manchester United v İstanbul Başakşehir,W,4-1,H,İstanbul Başakşehir
Southampton v Manchester United,W,2-3,A,Southampton
Manchester United v Paris St Germain,L,1-3,H,Paris St Germain
West Ham United v Manchester United,W,1-3,A,West Ham United
Red Bull Leipzig v Manchester United,L,3-2,A,Red Bull Leipzig
Manchester United v Manchester City,D,0-0,H,Manchester City
Sheffield United v Manchester United,W,2-3,A,Sheffield United
Manchester United v Leeds United,W,6-2,H,Leeds United
Everton v Manchester United,W,0-2,A,Everton
Leicester City v Manchester United,D,2-2,A,Leicester City
Manchester United v Wolverhampton Wanderers,W,1-0,H,Wolverhampton Wanderers
Manchester United v Aston Villa,W,2-1,H,Aston Villa
Manchester United v Manchester City,L,0-2,H,Manchester City
Manchester United v Watford,W,1-0,H,Watford
Burnley v Manchester United,W,0-1,A,Burnley
Liverpool v Manchester United,D,0-0,A,Liverpool
Fulham v Manchester United,W,1-2,A,Fulham
Manchester United v Liverpool,W,3-2,H,Liverpool
Manchester United v Sheffield United,L,1-2,H,Sheffield United
Arsenal v Manchester United,D,0-0,A,Arsenal
Manchester United v Southampton,W,9-0,H,Southampton
Manchester United v Everton,D,3-3,H,Everton
Manchester United v West Ham United,W,1-0,H,West Ham United
West Bromwich Albion v Manchester United,D,1-1,A,West Bromwich Albion
Real Sociedad v Manchester United,W,0-4,A,Real Sociedad
Manchester United v Newcastle United,W,3-1,H,Newcastle United
Manchester United v Real Sociedad,D,0-0,H,Real Sociedad
Chelsea v Manchester United,D,0-0,A,Chelsea
Crystal Palace v Manchester United,D,0-0,A,Crystal Palace
Manchester City v Manchester United,W,0-2,A,Manchester City
Manchester United v AC Milan,D,1-1,H,AC Milan
Manchester United v West Ham United,W,1-0,H,West Ham United
AC Milan v Manchester United,W,0-1,A,AC Milan
Leicester City v Manchester United,L,3-1,A,Leicester City
Manchester United v Brighton and Hove Albion,W,2-1,H,Brighton and Hove Albion
Granada v Manchester United,W,0-2,A,Granada
Tottenham Hotspur v Manchester United,W,1-3,A,Tottenham Hotspur
Manchester United v Granada,W,2-0,H,Granada
Manchester United v Burnley,W,3-1,H,Burnley
Leeds United v Manchester United,D,0-0,A,Leeds United
Manchester United v AS Roma,W,6-2,H,AS Roma
AS Roma v Manchester United,L,3-2,A,AS Roma
Aston Villa v Manchester United,W,1-3,A,Aston Villa
Manchester United v Leicester City,L,1-2,H,Leicester City
Manchester United v Liverpool,L,2-4,H,Liverpool
Manchester United v Fulham,D,1-1,H,Fulham
Wolverhampton Wanderers v Manchester United,W,1-2,A,Wolverhampton Wanderers
Villarreal v Manchester United,L,1-1 (11-10),A,Villarreal
